state,district,city_name,latitude,longitude,population,source
"Rajasthan","Tonk","Tonk","26.1620402","75.7894716","165294","Vynex Indian Cities Geodata"
"Andhra Pradesh","Guntur","Tenali","16.2395313","80.6493396","164937","Vynex Indian Cities Geodata"
"Tamil Nadu","","Kancheepuram","","","","Existing IRTMS India city catalog"
"Gujarat","Valsad","Vapi","20.3893155","72.9106202","163630","Vynex Indian Cities Geodata"
"Haryana","Sirsa","Sirsa","29.5335931","75.0177029","183282","Vynex Indian Cities Geodata"
"Gujarat","Navsari","Navsari","20.9467019","72.9520348","160941","Vynex Indian Cities Geodata"
"Telangana","Mahbubnagar","Mahbubnagar","16.748788","78.003626","157733","Vynex Indian Cities Geodata"
"Odisha","Puri","Puri","19.8133822","85.8314655","201026","Vynex Indian Cities Geodata"
"Karnataka","Kolar","Robertson Pet","12.9551189","78.2698622","162230","Vynex Indian Cities Geodata"
"Tamil Nadu","Erode","Erode","11.3410364","77.7171642","521776","Vynex Indian Cities Geodata"
"Punjab","Gurdaspur","Batala","31.8183238","75.2070644","151400","Vynex Indian Cities Geodata"
"Uttarakhand","","Haldwani-cum-Kathgodam","","","","Existing IRTMS India city catalog"
"Madhya Pradesh","Vidisha","Vidisha","23.5251102","77.8081363","155959","Vynex Indian Cities Geodata"
"Bihar","Saharsa","Saharsa","25.8834961","86.6006249","155175","Vynex Indian Cities Geodata"
"Haryana","Kurukshetra","Thanesar","29.9696148","76.8197522","154962","Vynex Indian Cities Geodata"
"Andhra Pradesh","Chittoor","Chittoor","13.217176","79.1003289","153766","Vynex Indian Cities Geodata"
"Gujarat","Gir Somnath","Veraval","20.91424","70.3611","154636","Vynex Indian Cities Geodata"
"Uttar Pradesh","Lakhimpur Kheri","Lakhimpur","27.9490794","80.7824012","164925","Vynex Indian Cities Geodata"
"Uttar Pradesh","Sitapur","Sitapur","27.561892","80.688511","188230","Vynex Indian Cities Geodata"
"Andhra Pradesh","Anantapur","Hindupur","13.829069","77.491835","151835","Vynex Indian Cities Geodata"
"West Bengal","","Santipur","","","","Existing IRTMS India city catalog"
"West Bengal","Dakshin Dinajpur","Balurghat","25.2372834","88.7830612","164593","Vynex Indian Cities Geodata"
"Madhya Pradesh","","Ganjbasoda","","","","Existing IRTMS India city catalog"
"Punjab","Moga","Moga","30.8164603","75.1717093","141432","Vynex Indian Cities Geodata"
"Andhra Pradesh","Kadapa","Proddatur","14.7491864","78.5531577","162816","Vynex Indian Cities Geodata"
"Uttarakhand","","Srinagar","","","","Existing IRTMS India city catalog"
"West Bengal","","Medinipur","","","","Existing IRTMS India city catalog"
"West Bengal","North 24 Parganas","Habra","22.8488542","88.6639591","304584","Vynex Indian Cities Geodata"
"Bihar","Rohtas","Sasaram","24.949036","84.0314295","147396","Vynex Indian Cities Geodata"
"Bihar","Vaishali","Hajipur","25.692562","85.208369","147688","Vynex Indian Cities Geodata"
"Gujarat","Kutch","Bhuj","23.2419997","69.6669324","143286","Vynex Indian Cities Geodata"
"Madhya Pradesh","Shivpuri","Shivpuri","25.4357869","77.665066","179972","Vynex Indian Cities Geodata"
"West Bengal","Nadia","Ranaghat","23.17405","88.5639352","235583","Vynex Indian Cities Geodata"
"Himachal Pradesh","Shimla","Shimla","31.1048145","77.1734033","171817","Vynex Indian Cities Geodata"
"Tamil Nadu","Tiruvannamalai","Tiruvannamalai","12.2252841","79.0746957","145278","Vynex Indian Cities Geodata"
"Haryana","Kaithal","Kaithal","29.7856734","76.3984537","144633","Vynex Indian Cities Geodata"
"Chhattisgarh","Rajnandgaon","Rajnandgaon","21.0971034","81.0302222","263122","Vynex Indian Cities Geodata"
"Gujarat","Panchmahal","Godhra","22.7788044","73.6142795","143644","Vynex Indian Cities Geodata"
"Jharkhand","","Hazaribag","","","","Existing IRTMS India city catalog"
"Andhra Pradesh","West","Bhimavaram","16.544709","81.520593","142280","Vynex Indian Cities Geodata"
"Madhya Pradesh","Mandsaur","Mandsaur","24.076836","75.0692952","141468","Vynex Indian Cities Geodata"
"Assam","Dibrugarh","Dibrugarh","27.4728327","94.9119621","154019","Vynex Indian Cities Geodata"
"Karnataka","Kolar","Kolar","13.1357446","78.1325611","138462","Vynex Indian Cities Geodata"
"West Bengal","Bankura","Bankura","23.2324146","87.0786044","138036","Vynex Indian Cities Geodata"
"Karnataka","Mandya","Mandya","12.5221567","76.9009191","137358","Vynex Indian Cities Geodata"
"Bihar","","Dehri-on-Sone","","","","Existing IRTMS India city catalog"
"Andhra Pradesh","Chittoor","Madanapalle","13.5603491","78.5036065","135669","Vynex Indian Cities Geodata"
"Punjab","Sangrur","Malerkotla","30.5232076","75.8882508","135424","Vynex Indian Cities Geodata"
